creator,url,distributors,uploads,median_outlier,max_outlier
Rehabit8,https://www.youtube.com/@Rehabit8,2,3,1.18,1.18
user-Vozrozhdenie,https://www.youtube.com/@user-Vozrozhdenie,2,3,1.04,1.15
Wild_Hammer,https://www.youtube.com/@Wild_Hammer,2,2,0.71,1.15
ppeppefamily,https://www.youtube.com/@ppeppefamily,2,4,0.85,1.06
WoodworkingProjectsDIY,https://www.youtube.com/@WoodworkingProjectsDIY,2,2,0.78,1.04
SailingGoodBadandUgly,https://www.youtube.com/@SailingGoodBadandUgly,2,4,1.01,1.03
HomeBuiltByJeff,https://www.youtube.com/@HomeBuiltByJeff,2,2,0.79,1.0
WildernessSurvivalMan,https://www.youtube.com/@WildernessSurvivalMan,2,2,0.75,1.0
havgs1701,https://www.youtube.com/@havgs1701,2,2,0.88,1.0
Solo.BushcraftTV,https://www.youtube.com/@Solo.BushcraftTV,2,2,0.56,0.99
kustorez777,https://www.youtube.com/@kustorez777,2,2,0.59,0.97
RenovationProcess,https://www.youtube.com/@RenovationProcess,2,3,0.95,0.95
MasonDixonAcres,https://www.youtube.com/@MasonDixonAcres,2,2,0.79,0.8
LESNUE,https://www.youtube.com/@LESNUE,2,2,0.45,0.77
darryldarks,https://www.youtube.com/@darryldarks,2,2,0.41,0.77
BuildingVanLife,https://www.youtube.com/@BuildingVanLife,2,4,0.55,0.75
alex_wildlife,https://www.youtube.com/@alex_wildlife,2,2,0.54,0.75
rcactionhomemade,https://www.youtube.com/@rcactionhomemade,2,2,0.39,0.74
LeandroGoretta,https://www.youtube.com/@LeandroGoretta,2,2,0.6,0.71
The_Rebuild_Lab,https://www.youtube.com/@The_Rebuild_Lab,2,2,0.44,0.67
UlilEbell,https://www.youtube.com/@UlilEbell,2,2,0.53,0.63
tehnolexa,https://www.youtube.com/@tehnolexa,2,2,0.32,0.61
RescueStory,https://www.youtube.com/@RescueStory,2,2,0.31,0.58
Akira_OA,https://www.youtube.com/@Akira_OA,2,2,0.52,0.56
gino.varisano,https://www.youtube.com/@gino.varisano,2,3,0.53,0.53
RobsCarpentryAndWoodworks,https://www.youtube.com/@RobsCarpentryAndWoodworks,2,3,0.49,0.49
RestorationTools6868,https://www.youtube.com/@RestorationTools6868,2,2,0.33,0.4
RuralCraftsmanship,https://www.youtube.com/@RuralCraftsmanship,2,2,0.23,0.35
DanZalinsky,https://www.youtube.com/@DanZalinsky,2,2,0.22,0.34
woodjunkie,https://www.youtube.com/@woodjunkie,2,2,0.16,0.29
PrimitiveSkillsnet,https://www.youtube.com/@PrimitiveSkillsnet,2,2,0.2,0.28
ThisLifeOutdoors,https://www.youtube.com/@ThisLifeOutdoors,2,2,0.17,0.27
YOGOMANinAK,https://www.youtube.com/@YOGOMANinAK,2,2,0.27,0.27
Elseweyr,https://www.youtube.com/@Elseweyr,2,3,0.25,0.25
Exode-Rénovation,https://www.youtube.com/@Exode-Rénovation,2,2,0.12,0.19
lttivi,https://www.youtube.com/@lttivi,2,2,0.12,0.18
TNCreativeProject,https://www.youtube.com/@TNCreativeProject,2,2,0.08,0.14
RinaandMichael,https://www.youtube.com/@RinaandMichael,2,3,0.1,0.1
Montana,https://www.youtube.com/@Montana,1,1,1524.99,1524.99
The-Quinta,https://www.youtube.com/@The-Quinta,1,1,970.52,970.52
adventurevibee,https://www.youtube.com/@adventurevibee,1,1,500.61,500.61
manmadecrafts,https://www.youtube.com/@manmadecrafts,1,1,216.88,216.88
ZiskindVillage,https://www.youtube.com/@ZiskindVillage,1,1,97.28,97.28
WELDPRO,https://www.youtube.com/@WELDPRO,1,1,81.07,81.07
awesome,https://www.youtube.com/@awesome,1,1,80.2,80.2
Damarsito,https://www.youtube.com/@Damarsito,1,1,63.99,63.99
ĐiềnTiểuCaFarm86,https://www.youtube.com/@ĐiềnTiểuCaFarm86,1,2,44.16,63.56
imamttae7280,https://www.youtube.com/@imamttae7280,1,1,56.21,56.21
lesnoy_nearthefire998,https://www.youtube.com/@lesnoy_nearthefire998,1,1,53.4,53.4
Noru,https://www.youtube.com/@Noru,1,1,50.97,50.97
Restoration,https://www.youtube.com/@Restoration,1,1,47.27,47.27
doracamperstudio,https://www.youtube.com/@doracamperstudio,1,1,42.69,42.69
InWildForest,https://www.youtube.com/@InWildForest,1,1,38.61,38.61
fazenda13aa,https://www.youtube.com/@fazenda13aa,1,1,36.86,36.86
trieuthisenh-o6k,https://www.youtube.com/@trieuthisenh-o6k,1,1,32.19,32.19
old_school_moaboa,https://www.youtube.com/@old_school_moaboa,1,1,28.58,28.58
thetielife,https://www.youtube.com/@thetielife,1,1,25.07,25.07
HandyGeng,https://www.youtube.com/@HandyGeng,1,1,20.34,20.34
ShoyanJapaneseCarpenter,https://www.youtube.com/@ShoyanJapaneseCarpenter,1,1,18.65,18.65
7asean,https://www.youtube.com/@7asean,1,1,18.46,18.46
RCHBuilders,https://www.youtube.com/@RCHBuilders,1,1,18.26,18.26
20by8,https://www.youtube.com/@20by8,1,1,17.69,17.69
northtoalaska2022,https://www.youtube.com/@northtoalaska2022,1,1,17.64,17.64
Mechanical-Hands,https://www.youtube.com/@Mechanical-Hands,1,1,16.59,16.59
ForestHobby_,https://www.youtube.com/@ForestHobby_,1,1,13.4,13.4
rosagold,https://www.youtube.com/@rosagold,1,1,12.06,12.06
DIY_OTAKU_take,https://www.youtube.com/@DIY_OTAKU_take,1,1,12.0,12.0
TriệuThịDuyên-b8b,https://www.youtube.com/@TriệuThịDuyên-b8b,1,1,11.6,11.6
radicalgastronomy,https://www.youtube.com/@radicalgastronomy,1,1,11.43,11.43
VermijlCarDetail,https://www.youtube.com/@VermijlCarDetail,1,1,11.4,11.4
annieandthevicarage,https://www.youtube.com/@annieandthevicarage,1,1,10.95,10.95
Flame-Frame-VN,https://www.youtube.com/@Flame-Frame-VN,1,1,10.88,10.88
DomashMaster,https://www.youtube.com/@DomashMaster,1,1,10.43,10.43
Urchfab,https://www.youtube.com/@Urchfab,1,1,9.78,9.78
ChâteauduVot,https://www.youtube.com/@ChâteauduVot,1,1,9.76,9.76
Martijn,https://www.youtube.com/@Martijn,1,1,9.6,9.6
Lesnoy_Duyen,https://www.youtube.com/@Lesnoy_Duyen,1,2,5.5,8.91
zelworks,https://www.youtube.com/@zelworks,1,1,8.7,8.7
BuildStudioHQ,https://www.youtube.com/@BuildStudioHQ,1,1,8.37,8.37
LandtoHouse,https://www.youtube.com/@LandtoHouse,1,1,7.92,7.92
garage9845,https://www.youtube.com/@garage9845,1,1,7.77,7.77
SurvivalBuilder,https://www.youtube.com/@SurvivalBuilder,1,3,1.0,7.34
emmanuel_sepulchre,https://www.youtube.com/@emmanuel_sepulchre,1,1,7.2,7.2
TheDetailGeek,https://www.youtube.com/@TheDetailGeek,1,1,6.65,6.65
TieuLieu-17yearold,https://www.youtube.com/@TieuLieu-17yearold,1,1,5.74,5.74
AdventuresHappen,https://www.youtube.com/@AdventuresHappen,1,1,5.72,5.72
Trieuthiduong,https://www.youtube.com/@Trieuthiduong,1,2,4.5,5.68
DrewBuildsStuff,https://www.youtube.com/@DrewBuildsStuff,1,1,5.67,5.67
TheDIYCabinGuy,https://www.youtube.com/@TheDIYCabinGuy,1,1,5.65,5.65
Life_in_Vietnam,https://www.youtube.com/@Life_in_Vietnam,1,1,5.5,5.5
lamaisondagonay4820,https://www.youtube.com/@lamaisondagonay4820,1,1,5.28,5.28
Mustaqim,https://www.youtube.com/@Mustaqim,1,1,4.83,4.83
OurRestorationNation,https://www.youtube.com/@OurRestorationNation,1,1,4.49,4.49
TractorsandCream,https://www.youtube.com/@TractorsandCream,1,1,4.39,4.39
nialldivers,https://www.youtube.com/@nialldivers,1,1,4.35,4.35
Kings_Wharf_Restoration,https://www.youtube.com/@Kings_Wharf_Restoration,1,1,4.27,4.27
andriibushcraft34,https://www.youtube.com/@andriibushcraft34,1,1,4.19,4.19
Christine,https://www.youtube.com/@Christine,1,1,4.1,4.1
MartijnDoolaard,https://www.youtube.com/@MartijnDoolaard,1,2,4.08,4.08
chateaudepurnon,https://www.youtube.com/@chateaudepurnon,1,2,3.86,3.86
SashaJuliardD,https://www.youtube.com/@SashaJuliardD,1,1,3.77,3.77
AlmightyGod2512,https://www.youtube.com/@AlmightyGod2512,1,1,3.73,3.73
MrHewes,https://www.youtube.com/@MrHewes,1,1,3.69,3.69
SimonFordman,https://www.youtube.com/@SimonFordman,1,1,3.6,3.6
Restoratorman,https://www.youtube.com/@Restoratorman,1,2,3.53,3.53
THENORTHCABIN,https://www.youtube.com/@THENORTHCABIN,1,1,3.45,3.45
WildRoot.Bushcraftz,https://www.youtube.com/@WildRoot.Bushcraftz,1,1,3.43,3.43
nhettvchannel,https://www.youtube.com/@nhettvchannel,1,1,3.42,3.42
MrWildNature,https://www.youtube.com/@MrWildNature,1,2,3.32,3.32
PacificNorthwestHillbilly,https://www.youtube.com/@PacificNorthwestHillbilly,1,1,3.27,3.27
MarkoRoolaid,https://www.youtube.com/@MarkoRoolaid,1,2,3.19,3.19
marusya_outdoors,https://www.youtube.com/@marusya_outdoors,1,1,3.06,3.06
karakum_outdoors,https://www.youtube.com/@karakum_outdoors,1,1,3.05,3.05
