creator,url,odds_top,best_strength,confirmations,distributors,best_outlier,best_reach,best_channel,best_channel_subs,best_title,evidence,peak_outlier_any,peak_reach_any,last_seen
MySelfReliance,https://www.youtube.com/@MySelfReliance,0.6679,0.668,0,5,13.8,34548,WoodCraft Empire,1850,Building an OFF GRID Geodesic Greenhouse From Start to Finish | Complete Build @MySelfReliance,media,13.8,188896,2026-06-25
20by8,https://www.youtube.com/@20by8,0.6674,0.667,0,1,19.7,34223,COLLAB,12400,Man Builds an Amazing DIY Container Workshop in the Mountains | by @20by8,débil,19.7,34223,2026-03-10
KrisHarbour,https://www.youtube.com/@KrisHarbour,0.6666,0.667,0,1,2.1,500876,BRAIN TIME VT,33700,Man Builds an Off-Grid Workshop Using Earthbags | Start to Finish@KrisHarbour,débil,2.1,500876,2026-08-04
TheDIYCabinGuy,https://www.youtube.com/@TheDIYCabinGuy,0.6658,0.666,0,1,10.9,33974,Quantum Builders,8730,Man Turns a Steep Mountain Slope Into a Stunning Cabin | by @TheDIYCabinGuy,débil,10.9,33974,2026-03-21
restorationt2,https://www.youtube.com/@restorationt2,0.6641,0.664,0,3,9.1,33350,Namtum Makers,1060,Young Man Rebuilds a $10 Broken Motorbike into a Kawasaki | Start To Finish by @restorationt2,media,9.1,33350,2026-05-05
Mechanical-Hands,https://www.youtube.com/@Mechanical-Hands,0.6619,0.662,0,1,13.6,31369,Techno Fusion HD,53100,Reviving a big 40 Year Old dead–Mercedes V10 Engine Revival SHOCKS Everyone!( By @Mechanical-Hands ),débil,13.6,31369,2025-08-24
lifeinjungle78,https://www.youtube.com/@lifeinjungle78,0.6609,0.661,0,2,2.4,30522,MrDuck112,31200,Making a Boat From a Palm Tree...(@lifeinjungle78),débil,2.4,31162,2024-10-04
Bourbonmoth,https://www.youtube.com/@Bourbonmoth,0.6603,0.66,0,1,2.1,2181648,TechFreeze,3220000,Man Uses Cattle Trough to Build an Amazing Motorboat | Full Build by @Bourbonmoth,débil,2.1,2181648,2026-05-30
lesnoy_badger1544,https://www.youtube.com/@lesnoy_badger1544,0.6603,0.66,0,4,2.1,204203,MrS,19100,He’s Only 20 – But Built This Entire Cabin With Just Hand Tools. @lesnoy_badger1544,media,2.1,204203,2026-07-28
TractorsandCream,https://www.youtube.com/@TractorsandCream,0.6598,0.66,0,1,4.5,30043,Smart Fox,85100,A Man Builds a Dome House From Start to Finish | Timelaps by @TractorsandCream,débil,4.5,30043,2025-11-28
AndrewCamarata,https://www.youtube.com/@AndrewCamarata,0.6584,0.658,0,1,2.1,491632,BRAIN TIME VT,33700,Man Builds Castle on Mountain Using Shipping Containers | From Start to Finish @AndrewCamarata,débil,2.1,491632,2026-05-06
christiangreen612,https://www.youtube.com/@christiangreen612,0.6581,0.658,0,2,2.3,29588,TTI Build Stories ,1800000,Man Built a Luxury Camper Alone! The Result Is INSANE! 😳 ( by ‪@christiangreen612‬ ),débil,2.3,29588,2026-05-03
OurRestorationNation,https://www.youtube.com/@OurRestorationNation,0.6576,0.658,0,1,4.4,29204,Smart Fox,85100,Old House Renovation | Full Timelaps from Start to Finish by ⁨@OurRestorationNation,débil,4.4,29204,2025-10-19
Ivan-Rogal,https://www.youtube.com/@Ivan-Rogal,0.6489,0.649,0,2,6.2,26738,Crafted Horizon,226,Building a Perfect Circular House from the Ground Up | Start To Finish by @Ivan-Rogal,débil,6.2,26738,2026-08-03
Gabe_Octane,https://www.youtube.com/@Gabe_Octane,0.6478,0.648,0,1,2.0,1625516,AKLA GELEN,1090000,Man Builds a Cabin with Free Pallets 8 Minutes | TIMELAPSE Start to Finish by @Gabe_Octane,débil,2.0,1625516,2026-07-21
HarshSURVIVAL88,https://www.youtube.com/@HarshSURVIVAL88,0.6415,0.642,0,1,1.9,44552,Vertigar Bushcraft,5170,The man embarked on a harsh test of survival | By @HarshSURVIVAL88,débil,1.9,44552,2026-04-22
campaddicts,https://www.youtube.com/@campaddicts,0.6415,0.642,0,2,1.9,24839,MrDuck112,31200,Making a Bear-Shaped House...(@campaddicts),débil,1.9,24839,2024-10-05
rosagold,https://www.youtube.com/@rosagold,0.6407,0.641,0,1,13.6,23514,COLLAB,12400,Couple Spends 100 Days Renovating Old House Back to New | by @rosagold,débil,13.6,23514,2026-03-13
AntiqueVintageRestoratioNs,https://www.youtube.com/@AntiqueVintageRestoratioNs,0.6394,0.639,0,2,1.9,39845,MrDuck104,406000,Restoring 100 Year Old Toastie Maker...(@AntiqueVintageRestoratioNs),débil,1.9,39845,2024-09-28
Tornado_Dave,https://www.youtube.com/@Tornado_Dave,0.6377,0.638,0,5,1.9,24739,TTI Build Stories ,1800000,This Man Built a SECRET Tunnel System! And It’s Unreal! 😳 ( Start to Finish by @Tornado_Dave ‬ ),media,1.9,1099948,2026-07-08
Paullivesdifferent,https://www.youtube.com/@Paullivesdifferent,0.6369,0.637,0,4,1.9,1544471,AKLA GELEN,1090000,Man Builds Dream Off-Grid House | Start to Finish by @Paullivesdifferent,media,1.9,1544471,2026-06-27
klerobi1,https://www.youtube.com/@klerobi1,0.6355,0.636,0,4,1.9,1848504,Makerium,320000,Man Turns Wooden Pallets into a Home with a Kitchen and Bathroom | Start to Finish by @klerobi1,media,1.9,1848504,2026-07-30
Malinnik92,https://www.youtube.com/@Malinnik92,0.6336,0.634,0,1,1.9,43250,Vertigar Bushcraft,5170,From the escape to the secret survival home| BY @Malinnik92,débil,1.9,43250,2026-04-21
LonePeregrin,https://www.youtube.com/@LonePeregrin,0.6315,0.631,0,1,1.9,43009,Vertigar Bushcraft,5170,"Building a Raft Without Ropes, Drifting to a Mysterious Cave | By @LonePeregrin",débil,1.9,43009,2026-04-20
KORcountrysidelife,https://www.youtube.com/@KORcountrysidelife,0.6279,0.628,0,5,1.8,1470118,AKLA GELEN,1090000,Man Builds Dream Mountain Homestay | Start to Finish by @KORcountrysidelife,media,2.6,1470118,2026-07-18
Lesnoy_Craft,https://www.youtube.com/@Lesnoy_Craft,0.6279,0.628,0,2,1.8,23492,TTI Build Stories ,1800000,He Built a Stone Cabin Alone in the Wilderness Start to Finish | (by @Lesnoy_Craft),débil,1.8,23492,2026-06-25
johnwolson,https://www.youtube.com/@johnwolson,0.6244,0.624,0,1,6.3,19518,Quantum Builders,8730,Man Builds $387K Luxury Mountain House on Steep Terrain With Stunning Views | by @johnwolson,débil,6.3,19518,2026-01-23
lesnoy_nearthefire998,https://www.youtube.com/@lesnoy_nearthefire998,0.6241,0.624,0,2,1.8,30016,an tinh,6810,Ultimate Survival Skills Using Plastic Tarps and Pallet Wood | By @lesnoy_nearthefire998,débil,38.9,30016,2026-05-11
woodwood1,https://www.youtube.com/@woodwood1,0.6217,0.622,0,1,1.7,392262,World Build,36500,"Process of Building a GIANT Wooden Villa in South Korea for $1,000,000 | Step-by-step by @woodwood1",débil,1.7,392262,2026-07-10
ohotovedenie,https://www.youtube.com/@ohotovedenie,0.6135,0.614,0,1,1.7,409022,Betelhem Tech,28000,2 Days at -10°C — Alone in the Snowy Forest with My Horse ❄️🐎🌲 | By @ohotovedenie,débil,1.7,409022,2026-05-21
Elijah-House,https://www.youtube.com/@Elijah-House,0.6113,0.611,0,3,3.6,16747,Pro Build Master,4800,Man Builds an Amazing Wood House in The Woods | Full Timelapes Start to Finish by @Elijah-House,media,3.6,35454,2026-08-05
RideCamp65,https://www.youtube.com/@RideCamp65,0.61,0.61,0,1,1.7,38593,Vertigar Bushcraft,5170,48 Hours of Survival in an Abandoned Wooden Cabin | By @RideCamp65,débil,1.7,38593,2026-05-09
European_Homesteading,https://www.youtube.com/@European_Homesteading,0.6083,0.608,0,3,1.6,1341304,AKLA GELEN,1090000,"Man Renovates 75-Year-Old Mud House, Turns It Into Dream Home |Start to Finish@European_Homesteading",media,1.6,1341304,2026-07-06
secondgrowthhomes,https://www.youtube.com/@secondgrowthhomes,0.601,0.601,0,1,2.1,13976,Smart Fox,85100,A Man Builds a Frame Cabin | From Start to Finish by @secondgrowthhomes,débil,2.1,13976,2025-12-04
CarRestorations-USA,https://www.youtube.com/@CarRestorations-USA,0.598,0.598,0,1,1.6,79741,Life Rhythm TV,4350,Man Restores an Abandoned Patrol Vehicle Into His Dream Ride | by @CarRestorations-USA,débil,1.6,79741,2026-07-30
Borsch_TV,https://www.youtube.com/@Borsch_TV,0.5915,0.591,0,1,1.5,280154,Build Maker,46200,Couple Transforms Land Into Modern Barn House | Built for Cheap by @Borsch_TV,débil,1.5,280154,2025-08-17
nhettvchannel,https://www.youtube.com/@nhettvchannel,0.5906,0.591,0,1,3.2,11645,Namtum Makers,1060,Man Spent 350 Days Building a Lamborghini Revuelto From Scrap | Start To Finish By @nhettvchannel,débil,3.2,11645,2026-05-04
BudaBushcraft,https://www.youtube.com/@BudaBushcraft,0.5887,0.589,0,3,1.5,363817,Epic Timeline,35300,Sheltering Under an Oak Tree Amid Rain and Snow — Minimal Survival 🌧️🌨️🌳  By @BudaBushcraft,media,1.5,363817,2026-08-07
LIFE-OUTSIDE,https://www.youtube.com/@LIFE-OUTSIDE,0.5887,0.589,0,2,1.5,363343,Epic Timeline,35300,Overnight in a Cabin Amidst a Harsh Snowstorm  By @LIFE-OUTSIDE,débil,1.5,363343,2026-08-08
wetscapes,https://www.youtube.com/@wetscapes,0.5874,0.587,0,1,1.7,11441,Smart Fox,85100,Professional Pool Build in the Backyard | Timelaps by @wetscapes,débil,1.7,11441,2025-12-22
bradyoung2174,https://www.youtube.com/@bradyoung2174,0.5838,0.584,0,2,1.5,1224548,AKLA GELEN,1090000,Building a Garage + House in 8 Minutes TIMELAPSE | Start to Finish by @bradyoung2174,débil,1.5,1224548,2026-07-29
hoangthichien1991ideahouse,https://www.youtube.com/@hoangthichien1991ideahouse,0.5836,0.584,0,1,14.3,11078,DIY UNIQUE CREATIONS,119,DIY beautiful bamboo bridge | by@hoangthichien1991ideahouse,débil,14.3,11078,2024-12-29
PrimitiveTechnologyIdea,https://www.youtube.com/@PrimitiveTechnologyIdea,0.5819,0.582,0,3,8.4,11003,SwiftBuild,4010,Man builds home in 90 days to survive----- Start to finish by @PrimitiveTechnologyIdea,media,8.4,166492,2026-07-06
trwilderness-bahadirkilic,https://www.youtube.com/@trwilderness-bahadirkilic,0.5814,0.581,0,1,1.5,14283,Cabin Maker,924,Building a log cabin in 30 days - From start to finish by @trwilderness-bahadirkilic,débil,1.5,14283,2026-06-11
7asean,https://www.youtube.com/@7asean,0.5792,0.579,0,1,17.0,10414,HITECH,208,The man built a self-sufficient bamboo island in 365 days.| by@7asean,débil,17.0,10414,2026-04-02
SBRRCTRUCK,https://www.youtube.com/@SBRRCTRUCK,0.5787,0.579,0,1,2.8,10240,Namtum Makers,1060,Young Man Builds a Realistic RC Dump Truck MAN TGS from PVC | Start to Finish By @SBRRCTRUCK,débil,2.8,10240,2026-05-03
primitivevilla1930,https://www.youtube.com/@primitivevilla1930,0.5754,0.575,0,2,2.3,9891,Professional Skills,12900,Start to Finish: Luxury Wooden House with Water Wheel & Hanging Garden Build |@primitivevilla1930,débil,2.3,9891,2026-08-07
AdventureViper,https://www.youtube.com/@AdventureViper,0.5749,0.575,0,1,1.4,342618,Epic Timeline,35300,Stuck in a Heavy Snowstorm — Surviving in a Hot Tents with My Dog 🐕🔥❄️ | By @AdventureViper,débil,1.4,342618,2026-07-23
Perfectgroup2013,https://www.youtube.com/@Perfectgroup2013,0.5749,0.575,0,1,1.4,16259,Wood & Steel Craft,850,Building a Massive Log Fortress: Star-Shaped Timber & Crane Lifts | by @Perfectgroup2013,débil,1.4,16259,2026-06-24
PhươngOutdoor,https://www.youtube.com/@PhươngOutdoor,0.5732,0.573,0,1,14.8,9754,Calm Fix Studio,22,Solo Woman Builds a Swimming Pool and Cabin in 300 Days | Start to Finish By @PhươngOutdoor,débil,14.8,9754,2026-07-17
KYLESCABIN,https://www.youtube.com/@KYLESCABIN,0.5727,0.573,0,4,1.4,79481,CabinCraft,6330,I Built My Dream Off Grid Cabin In The Woods | Start To Finish @KYLESCABIN @QuantumMakers ,media,1.4,79481,2026-08-06
alonewithwildlife,https://www.youtube.com/@alonewithwildlife,0.5651,0.565,0,1,1.4,892949,TK Maker,25100,Rain That Rained All Night Without StoppingA Small Shelter Saves a Life 🌧️🔥 By @alonewithwildlife,débil,1.4,892949,2026-07-02
DennisKoburger,https://www.youtube.com/@DennisKoburger,0.5631,0.563,0,3,1.4,18149,TTI Build Stories ,1800000,The ONLY Van Build Video You Need to Watch (Start to Finish) | @DennisKoburger,media,1.4,18149,2026-06-24
Hampus_Granstrom,https://www.youtube.com/@Hampus_Granstrom,0.5623,0.562,0,2,18.8,8791,Maexology,1970,Man Fully Restores Abandoned 1963 Ford | From Start To Finish By @Hampus_Granstrom,débil,43.8,8791,2025-03-18
forestWildPunk,https://www.youtube.com/@forestWildPunk,0.5596,0.56,0,2,1.4,329618,Betelhem Tech,28000,"Winter Returns — Strong Winds and Heavy Snow, Stay Safe in a Forest Hut  By @forestWildPunk",débil,1.4,329618,2026-05-19
adrianwoodworm,https://www.youtube.com/@adrianwoodworm,0.5558,0.556,0,5,2.6,8213,Quantum Builders,8730,Man Transforms an Old Boat Into a Modern Luxury Houseboat | Start to Finish by @adrianwoodworm​,media,8.7,8213,2026-08-08
bogdanintheforest4382,https://www.youtube.com/@bogdanintheforest4382,0.5544,0.554,0,9,1.3,319358,Epic Timeline,35300,Life in the Remote Mountains | Building My Own Snowmobile for Winter | By @bogdanintheforest4382,media,9.7,319358,2026-08-01
marusya_outdoors,https://www.youtube.com/@marusya_outdoors,0.5536,0.554,0,1,4.0,7951,Clean & Restore Tech,3380,Surviving the Freezing Wilderness: Building an Igloo Shelter By @marusya_outdoors,débil,4.0,7951,2026-05-03
pakistanitruck,https://www.youtube.com/@pakistanitruck,0.5504,0.55,0,1,1.3,1367111,TechFreeze,3220000,How Pakistan Mechanics Bring American Construction Machines Back to Life | by @pakistanitruck,débil,1.3,1367111,2025-09-11
buildingroots5873,https://www.youtube.com/@buildingroots5873,0.5427,0.543,0,1,1.3,299426,BRAIN TIME VT,33700,Couple spends five years building a massive straw house | from start to finish@buildingroots5873,débil,1.3,299426,2026-08-07
MichaelValentino,https://www.youtube.com/@MichaelValentino,0.5408,0.541,0,1,1.3,1030459,AKLA GELEN,1090000,"Man Builds a House with Pallets, Wheels, and Trash | Start to Finish by @MichaelValentino",débil,1.3,1030459,2026-02-06
robinson-foundry,https://www.youtube.com/@robinson-foundry,0.5362,0.536,0,2,1.2,25611,MrDuck104,406000,Hammer Out Of 1000 Pennies...(@robinson-foundry),débil,1.2,25611,2024-09-24
Nasatchanne,https://www.youtube.com/@Nasatchanne,0.5329,0.533,0,1,2.5,5768,Techno Fusion HD,53100,This Engine Repair Was Thought Impossible… But He Fixed It! ✅ by @Nasatchanne,débil,2.5,5768,2026-08-01
belaruscustoms,https://www.youtube.com/@belaruscustoms,0.5327,0.533,0,2,1.2,1253944,TechFreeze,3220000,Man uses Diesel Car Engine to Build a Monster Bike | Start to Finish by @belaruscustoms,débil,1.2,1253944,2026-05-29
BergstromGarage,https://www.youtube.com/@BergstromGarage,0.5327,0.533,0,5,1.2,71739,MAKERS HD,3260,Man Spends 2 Years Transforming an Abandoned Garage Into His Dream Workshop | by@BergstromGarage,media,5.1,524612,2026-08-09
norusarubushcraft,https://www.youtube.com/@norusarubushcraft,0.531,0.531,0,9,70.7,5730,Hidden Cabin ,48,Catching Fish in a DIY Forest Hut | Survival #fishing #forest #nature@norusarubushcraft,media,70.7,5730,2026-07-27
SimpleLifeBushcraft,https://www.youtube.com/@SimpleLifeBushcraft,0.5299,0.53,0,3,1.2,20560,an tinh,6810,An isolated life in a wooden cabin | By @SimpleLifeBushcraft,media,1.2,20560,2026-08-03
Rehabit8,https://www.youtube.com/@Rehabit8,0.5267,0.527,0,2,1.2,1229678,TechFreeze,3220000,Couple Transforms Bus into Luxury Mobile Home | Full Conversion by @Rehabit8,débil,1.2,1229678,2026-07-10
ForestHobby_,https://www.youtube.com/@ForestHobby_,0.5237,0.524,0,2,1.2,20116,an tinh,6810,Part 2 - The Wooden House Was About to Collapse—And I Decided | By @ForestHobby_,débil,1.2,20116,2026-05-03
buildingskill9353,https://www.youtube.com/@buildingskill9353,0.5215,0.522,0,1,2.7,5397,Clean & Restore Tech,3380,This Treehouse Is Not For The Faint Hearted | By @buildingskill9353,débil,2.7,5397,2026-02-01
Library,https://www.youtube.com/@Library,0.5207,0.521,0,2,1.2,5663,22TechZoom,97400,"How a Man Spent $30,000 to Build an Underground Bunker | Start to Finish by @Library of Construction",débil,1.2,5663,2026-06-12
BushcraftIdeas-e9q,https://www.youtube.com/@BushcraftIdeas-e9q,0.5207,0.521,0,5,2.9,5388,Construcciones Salvajes,3650,Este Hombre Convirtió Esta Roca Gigante En Una Casa | Antes Y Después | @BushcraftIdeas-e9q⁩,media,13.1,1042898,2026-07-26
YiZhizhu,https://www.youtube.com/@YiZhizhu,0.5182,0.518,0,2,2.6,5330,Clean & Restore Tech,3380,A Man Transforms Dead Animals into Astonishing ROBOTS | Cyborg King Crab and Lobster by ‪@YiZhizhu,débil,2.6,5330,2026-07-25
BendheimBoards,https://www.youtube.com/@BendheimBoards,0.5136,0.514,0,5,1.1,16806,Not Fake: fyp,18700,A Man Transforms a Shipping Container into a Private Room! | Start to Finish by @BendheimBoards,media,5.1,16806,2026-02-23
VeganAthlete,https://www.youtube.com/@VeganAthlete,0.5109,0.511,0,2,1.1,266496,BRAIN TIME VT,33700,Couple Builds Dream Home in the Forest | Self-Sufficient Nomadic Life @VeganAthlete,débil,1.3,266496,2026-07-12
SalvagetoScenic,https://www.youtube.com/@SalvagetoScenic,0.5095,0.51,0,1,1.3,4856,Namtum Makers,1060,Man Transforms an Old Pontoon Boat into a LUXURY Tiny Floating Home @SalvagetoScenic​,débil,1.3,4856,2026-05-06
LRN2DIY,https://www.youtube.com/@LRN2DIY,0.5087,0.509,0,1,1.1,7491,Smart Fox,85100,A Man Builds a Treeless Tree House | Timelaps from Start to Finish by @LRN2DIY,débil,1.1,7491,2026-01-24
awesome,https://www.youtube.com/@awesome,0.5084,0.508,0,1,49.2,4825,Renovation Rescue HD,1310,100% Wrecked & Forgotte Can This Nissan Patrol Be Saved | by @awesome car restoration,débil,49.2,4825,2026-04-07
weldlabxteam,https://www.youtube.com/@weldlabxteam,0.5079,0.508,0,1,6.2,4823,DIY UNIQUE CREATIONS,119,DIY HOW TO MAKE A BAMBOO CHICKEN |@weldlabxteam #diycreation #bamboohousebuilding #homemade,débil,6.2,4823,2025-01-08
WELDPRO,https://www.youtube.com/@WELDPRO,0.5068,0.507,0,1,48.2,4723,Renovation Rescue HD,1310,CRAZY Idea! Turn Your Bicycle Into a Chainless 500W Electric Bike|By @WELDPRO,débil,48.2,4723,2026-03-28
DailyBergstrom,https://www.youtube.com/@DailyBergstrom,0.5063,0.506,0,1,2.5,4697,Construcciones Salvajes,3650,Hombre Convierte Granero Abandonado En Un Taller de Ensueño DIY | Antes Y Después | @DailyBergstrom,débil,2.5,4697,2026-01-08
sawyerslawncareservice,https://www.youtube.com/@sawyerslawncareservice,0.5046,0.505,0,1,1.1,14316,TTI Build Stories ,1800000,The FASTEST Way to Remove Fall Leaves ! (By @sawyerslawncareservice  ),débil,1.1,14316,2026-08-10
outdoorlifeandcraft,https://www.youtube.com/@outdoorlifeandcraft,0.5027,0.503,0,5,3.4,4427,SwiftBuild,4010,Man turns the ground into his secret CABIN. Start to finish by @outdoorlifeandcraft,media,3.4,216161,2026-07-27
QuickCuts,https://www.youtube.com/@QuickCuts,0.5014,0.501,0,3,3.4,4381,Rebuilding HD,2420,Two Men Transform a Neglected Forest into a Stunning Garden by @QuickCuts,media,3.4,4381,2026-07-25
haisupercar,https://www.youtube.com/@haisupercar,0.5003,0.5,0,5,1.2,4331,Namtum Makers,1060,Homemade BUGATTI: The Ultimate DIY Supercar Project @haisupercar,media,1.2,1018469,2026-07-01
cleanupfree2t970,https://www.youtube.com/@cleanupfree2t970,0.4986,0.499,0,3,43.4,4257,Renovation Rescue HD,1310,From Trash to Home: 2 Men Transform an Abandoned House for FREE!by ‪@cleanupfree2t970‬,media,43.4,4257,2026-07-24
AlekseyKarpushkin,https://www.youtube.com/@AlekseyKarpushkin,0.4984,0.498,0,1,1.1,71473,Gear Tech HD,471000,Man Spent 1.5 YEARS Building a HYPER-REALISTIC Medieval Castle from CLAY | by @AlekseyKarpushkin,débil,1.1,71473,2026-05-20
BushcraftHakankarahan,https://www.youtube.com/@BushcraftHakankarahan,0.4984,0.498,0,5,1.1,18355,an tinh,6810,"Setting up tents, building fires,a unique survival strategy | By @BushcraftHakankarahan",media,1.5,18355,2026-08-07
FarawayForge,https://www.youtube.com/@FarawayForge,0.4951,0.495,0,2,1.1,13829,MrDuck112,31200,Man Makes Japanese TANTO from Rusty Metal...(@FarawayForge),débil,1.1,18573,2024-10-20
MAXBUSHCKRAFT24,https://www.youtube.com/@MAXBUSHCKRAFT24,0.4951,0.495,0,3,1.1,13819,MrDuck112,31200,Building Starter Base Out In The Wild...(@MAXBUSHCKRAFT24),media,1.1,115345,2026-05-15
SailingGoodBadandUgly,https://www.youtube.com/@SailingGoodBadandUgly,0.4899,0.49,0,2,1.1,1093162,TechFreeze,3220000,"Couple Transforms $5,000 Boat into Luxury Yacht | 2-Year Timelapse by @SailingGoodBadandUgly",débil,1.1,1093162,2026-06-22
ProcessK,https://www.youtube.com/@ProcessK,0.4888,0.489,0,2,137.3,3981,The Maker World,78,Building a Beautiful Traditional Korean House: Full Construction Process @ProcessK,débil,137.3,3981,2026-04-23
ppeppefamily,https://www.youtube.com/@ppeppefamily,0.4869,0.487,0,2,1.0,846276,AKLA GELEN,1090000,Family Builds Their Dream Heated Greenhouse 15 Minutes -TIMELAPSE | Start to Finish by @ppeppefamily,débil,1.4,846276,2026-05-10
WoodsboundOutdoors,https://www.youtube.com/@WoodsboundOutdoors,0.4869,0.487,0,1,1.0,252010,Betelhem Tech,28000,Surviving a Blizzard — Cardboard Hut on a Snowmobile  By @WoodsboundOutdoors,débil,1.0,252010,2026-05-21
AlexBushcraftmyWorld,https://www.youtube.com/@AlexBushcraftmyWorld,0.4869,0.487,0,1,1.0,9292,Buildora,51,This Man Builds a HUGE Underground Hidden Cabin in the Forest by @AlexBushcraftmyWorld,débil,1.0,9292,2026-07-12
Christine,https://www.youtube.com/@Christine,0.4867,0.487,0,1,3.1,3830,TECH REVIEWS,1640,Inside an Epic Forest Cabin Build – A-Frame House Made by Couple @Christine & Jesse,débil,3.1,3830,2026-06-20
riverrockcabin5941,https://www.youtube.com/@riverrockcabin5941,0.4812,0.481,0,1,1.0,89744,Maker World,19200,Old Man and His Wife Build an Incredible Luxury Home in the Wild Forest | by @riverrockcabin5941,débil,1.0,89744,2026-06-18
annasgmlindgren,https://www.youtube.com/@annasgmlindgren,0.4788,0.479,0,1,1.0,1047164,TechFreeze,3220000,Woman Restores OLD Abandoned Wood House from Scratch | Start to Finish by@annasgmlindgren​,débil,1.0,1047164,2026-02-28
WildxJournal,https://www.youtube.com/@WildxJournal,0.4731,0.473,0,1,4.3,3327,DIY UNIQUE CREATIONS,119,#DIY Beautiful bamboo house 2025 | by@WildxJournal,débil,4.3,3327,2025-01-02
Noru,https://www.youtube.com/@Noru,0.472,0.472,0,1,33.9,3318,Renovation Rescue HD,1310,Man Builds a Handmade Survival Shelter in 15 Days | By @Noru Saru Bushcraft,débil,33.9,3318,2026-04-28
NHẾT,https://www.youtube.com/@NHẾT,0.4698,0.47,0,1,4.2,3248,DIY UNIQUE CREATIONS,119,Turning Dreams into Reality |  From Start to Finish by @NHẾT TV,débil,4.2,3248,2024-12-29
LiveWithCreativity,https://www.youtube.com/@LiveWithCreativity,0.4682,0.468,0,3,1.6,3236,Clean & Restore Tech,3380,Restoring a 70-Year-Old GAZ-69 | Bringing a Soviet Legend Back to Life | by @LiveWithCreativity,media,3.2,3236,2026-08-10
Xiaoqianfeng,https://www.youtube.com/@Xiaoqianfeng,0.4665,0.467,0,1,1.6,3151,Clean & Restore Tech,3380,A Girl Builds Her Own House in the Countryside in 360 Days | By @Xiaoqianfeng,débil,1.6,3151,2026-02-24
tehnolexa,https://www.youtube.com/@tehnolexa,0.466,0.466,0,2,1.0,3145,Quantum Builders,8730,Man Builds a SECRET Underground Bunker in Frozen Russia | Start to Finish by @tehnolexa,débil,1.0,3145,2026-01-09
RuslaninTheWoods,https://www.youtube.com/@RuslaninTheWoods,0.4657,0.466,0,6,1.0,638971,TK Maker,25100,2 Months of Winter in a Wooden House in the Forest  Real Life | By @RuslaninTheWoods,media,1.0,638971,2026-08-04
ForestHermit,https://www.youtube.com/@ForestHermit,0.4657,0.466,0,2,1.0,239596,Epic Timeline,35300,Building a Shelter in the Snowy Forest | Surviving the Harsh Winter | By @ForestHermit,débil,1.0,239596,2026-08-06
OffgridwithJayandJen,https://www.youtube.com/@OffgridwithJayandJen,0.4657,0.466,0,1,1.0,88380,Maker World,19200,Couple Builds OFF-GRID CABIN in the Wilderness Forest | Start to Finish by @OffgridwithJayandJen,débil,1.0,88380,2026-04-23
BudgiCamper,https://www.youtube.com/@BudgiCamper,0.4657,0.466,0,1,1.0,50887,Life Rhythm TV,4350,"Man with a budget of 20,000 euros builds an amazing mobile home |From start to finish@BudgiCamper",débil,1.0,50887,2026-05-25
RestorationsSkills6886,https://www.youtube.com/@RestorationsSkills6886,0.4657,0.466,0,4,1.0,4336,Professional Skills,12900,From Scrap to Powerhouse | 30-Year-Old Generator Restoration Review | @RestorationsSkills6886,media,4.9,4336,2026-07-29
freefootsteps877,https://www.youtube.com/@freefootsteps877,0.4611,0.461,0,3,62.1,2979,Survival Skills,7290,Những Người Phụ Nữ Xây Nhà Bên Hồ Giữa Rừng Trong 120 Ngày | Từ Đầu Đến Cuối By @freefootsteps877,media,62.1,2979,2026-05-01
Restoration,https://www.youtube.com/@Restoration,0.46,0.46,0,1,29.3,2873,Renovation Rescue HD,1310,Abandoned KAWASAKI NSR 50… Then This Full Restoration Happened | By @Restoration Repair,débil,29.3,2873,2026-04-10
SurvivalBuild,https://www.youtube.com/@SurvivalBuild,0.4562,0.456,0,1,2.1,2771,SwiftBuild,4010,Woman builds Insanely beautiful tree house from start to finish by  @SurvivalBuild ​,débil,2.1,2771,2025-01-31
Tran-Chien,https://www.youtube.com/@Tran-Chien,0.4551,0.455,0,1,33.5,2715,Hidden Cabin ,48,🌊 Water = Energy@Tran-Chien#hydropower#microhydro#minihydro,débil,33.5,2715,2026-02-12
norusarubushcraf,https://www.youtube.com/@norusarubushcraf,0.4526,0.453,0,1,32.8,2653,Hidden Cabin ,48,Weaving a basket@norusarubushcraf#basketweaving#bamboobasket#t,débil,32.8,2653,2026-02-15
Renovacile,https://www.youtube.com/@Renovacile,0.4524,0.452,0,1,1.0,233464,BRAIN TIME VT,33700,Couple Spends 4 Years Transforming an Old Barn Into a Dream Home | performed by @Renovacile,débil,1.0,233464,2026-06-17
lythibinh,https://www.youtube.com/@lythibinh,0.4524,0.452,0,2,1.0,105243,Innovative Tech World,37300,Talented young couple builds two dream wooden houses in 200 days  From start to finish by @lythibinh,débil,1.1,105243,2026-01-28
realmikethakur,https://www.youtube.com/@realmikethakur,0.4513,0.451,0,1,1.4,2639,Construcciones Salvajes,3650,Familia Compra Mansión Quemada Y La Convierten En La Casa De Sus Sueños  | ⁨@realmikethakur,débil,1.4,2639,2026-01-01
Theonewhobuilds-kz7tr,https://www.youtube.com/@Theonewhobuilds-kz7tr,0.4502,0.45,0,2,10.8,2627,Q Makers,74,Man Built a Tiny Wooden House by the River Completely Alone @Theonewhobuilds-kz7tr,débil,10.8,2627,2026-06-16
