creator,url,status,p_next,why,creator_subs,creator_views_per_video,qm_videos,qm_best_outlier,qm_best_views,qm_best_title,distributors,dist_best_outlier,dist_best_reach,dist_best_channel,confirmations
Nasatchannel,https://www.youtube.com/@Nasatchannel,probado_ok,0.58,ya os funcionó — su catálogo es mina,667000,1482743,3,4.81,14427874,Man Finds Abandoned Boat and Renovates it Back to New | Start to Finish Rebuild by  @Nasatchannel,7,39.9,1201490,Lord Gizmo,1
OUROBOROS-ARQ192,https://www.youtube.com/@OUROBOROS-ARQ192,probado_ok,0.58,ya os funcionó — su catálogo es mina,3070000,2276845,3,4.63,13899491,Man Builds 5-Floor Building With Mini Bricks | Small-Scale DIY @OUROBOROS-ARQ192,0,,,,0
rampewild,https://www.youtube.com/@rampewild,probado_ok,0.58,ya os funcionó — su catálogo es mina,17,54,5,4.44,13312247,Man Makes Mindblowing Fishing Traps & Amazing Fishing Techniques | by @rampewild.,2,1.0,32,ULTIMATE BUILD LAD DIY,0
MontanaHaven,https://www.youtube.com/@MontanaHaven,probado_ok,0.58,ya os funcionó — su catálogo es mina,96400,37546,3,4.41,13233738,Family of 7 Builds Amazing LOG HOUSE in Alaska in 2 Years | Start to Finish by @MontanaHaven,14,40.9,272510,Smart Fox,3
GanggeGarega2,https://www.youtube.com/@GanggeGarega2,probado_ok,0.58,ya os funcionó — su catálogo es mina,326,2701,2,4.4,13215630,Man Buys Flooded Car and RESTORES It Back to New | Start to Finish @GanggeGarega2,0,,,,0
marcetsandy,https://www.youtube.com/@marcetsandy,probado_ok,0.58,ya os funcionó — su catálogo es mina,29200,28977,2,4.38,13140612,Couple Spends 240 Days Renovating Old House Back to New | Start to Finish by @marcetsandy,1,0.1,330,WoodCraft Empire,0
CleanupMowing,https://www.youtube.com/@CleanupMowing,probado_ok,0.58,ya os funcionó — su catálogo es mina,136000,457407,2,4.31,12935569,No One Believed There Was a Sidewalk... Until They Revealed a Massive Hidden Path | @CleanupMowing,1,2.9,50,Quantam Tech HD,0
WoodworkingProducts,https://www.youtube.com/@WoodworkingProducts,probado_ok,0.58,ya os funcionó — su catálogo es mina,330000,162241,1,4.29,12888180,Woodturner Transforms MASSIVE Redwood Log into a MASTERPIECE | by @WoodworkingProducts,0,,,,0
HalfassKustoms,https://www.youtube.com/@HalfassKustoms,probado_ok,0.58,ya os funcionó — su catálogo es mina,185000,81675,3,4.21,12634368,Man Transforms JUNKYARD Pickup Into A LUXURY Roadster | 1949 GMC Pickup By @HalfassKustoms,3,4.8,1406,Explore Creators ,0
outdoorlifeandcraft,https://www.youtube.com/@outdoorlifeandcraft,probado_ok,0.58,ya os funcionó — su catálogo es mina,697000,819089,3,4.15,12451462,Man Builds Secret Underground CABIN in the Forest | Start to Finish by @outdoorlifeandcraft,4,3.4,4427,SwiftBuild,0
LeandroGoretta,https://www.youtube.com/@LeandroGoretta,probado_ok,0.58,ya os funcionó — su catálogo es mina,322000,775821,2,3.93,11797094,Man Turns Rusty Leaf Spring into Amazing KNIFE | Kukri Knife Start to Finish @LeandroGoretta,2,1.1,107,Making Process,0
Outdoor_builder,https://www.youtube.com/@Outdoor_builder,probado_ok,0.58,ya os funcionó — su catálogo es mina,211000,803239,1,3.8,11403074,Man Builds Hidden UNDER-ROCK Home in the Forest | Start to Finish by @Outdoor_builder,5,0.4,717,Clean & Restore Tech,0
himalayanhoney,https://www.youtube.com/@himalayanhoney,probado_ok,0.58,ya os funcionó — su catálogo es mina,2250,10135,1,3.79,11379647,How Men Climb The Himalayas for Hallucinogenic Mad Honey | by @himalayanhoney,0,,,,0
99Projects,https://www.youtube.com/@99Projects,probado_ok,0.58,ya os funcionó — su catálogo es mina,415000,349818,1,3.78,11347207,Man Buys 100-Year-Old RUINED HOUSE and Renovates it Back to New | Start to Finish by @99Projects,0,,,,0
PolissyaBushcraft,https://www.youtube.com/@PolissyaBushcraft,probado_ok,0.58,ya os funcionó — su catálogo es mina,1260000,6122624,5,3.67,11016674,Man Builds the Most Secret Cabin in The World | by @PolissyaBushcraft,6,951.9,1250851,SwiftBuild,0
LeChantierdesMax,https://www.youtube.com/@LeChantierdesMax,probado_ok,0.58,ya os funcionó — su catálogo es mina,139000,88477,2,3.66,10989696,They Built Their Own HOUSE in 2 YEARS | Full Construction by @LeChantierdesMax,5,8.8,780060,Maker World,2
my_off-grid_story,https://www.youtube.com/@my_off-grid_story,probado_ok,0.58,ya os funcionó — su catálogo es mina,7520,56682,2,3.59,10759564,Man Builds Amazing Tiny House in Just 9 Months | Start to Finish Construction by @my_off-grid_story,12,24.0,160095,Smart Fox,3
